RefSeqID,A_11PM,A_3AM,A_7AM,A_11AM,A_3PM,A_7PM,B_11PM,B_3AM,B_7AM,B_11AM,B_3PM,B_7PM,GeneSymbol
NM_001114743,0,0,0,0,0,0,0,0,0,0,0,0,zgc:175287
NM_200260,0,0,0,0,0,0,0,0,0,0,0,0,Ppp4r1
NM_131832,0,0,0,0,0,0,0,0,0,0,0,0,ETV6
NM_001099419,0,0,0,0,0,0,0,0,0,0,0,0,zgc:165507
NM_001033098,0,0,0,0,0,0,0,0,0,0,0,0,zgc:110385
NM_001113594,0,0,0,0,0,0,0,0,0,0,0,0,trim32
NM_001017895,0,0,0,0,0,0,0,0,0,0,0,0,zgc:110609
NM_201141,0,0,0,0,0,0,0,0,0,0,0,0,zgc:66388
NM_001080627,0,0,0,0,0,0,0,0,0,0,0,0,zgc:158458
NM_001006030,0,0,0,0,0,0,0,0,0,0,0,0,zgc:103459
NM_198871,0,0,0,0,0,0,0,0,0,0,0,0,zgc:63569
NM_001144980,0,0,0,0,0,0,0,0,0,0,0,0,gnrhr1
NM_200534,0,0,0,0,0,0,0,0,0,0,0,0,zgc:65780
NM_001089404,0,0,0,0,0,0,0,0,0,0,0,0,zgc:162730
NM_001128274,0,0,0,0,0,0,0,0,0,0,0,0,wu:fy63c09
NM_173257,0,0,0,0,0,0,0,0,0,0,0,0,mcm2
NM_001044962,0,0,0,0,0,0,0,0,0,0,0,0,si:dkey-65b13.8
NM_001017715,0,0,0,0,0,0,0,0,0,0,0,0,zgc:112183
NM_201588,0,0,0,0,0,0,0,0,0,0,0,0,PXN
NM_001128692,0,0,0,0,0,0,0,0,0,0,0,0,Serpini1
NM_001098192,0,0,0,0,0,0,0,0,0,0,0,0,golim4a
NM_200516,0,0,0,0,0,0,0,0,0,0,0,0,zgc:66286
NM_001128753,0,0,0,0,0,0,0,0,0,0,0,0,zgc:193711
NM_001004494,0,0,0,0,0,0,0,0,0,0,0,0,prc1
NM_001017675,0,0,0,0,0,0,0,0,0,0,0,0,zgc:112020
NM_001089496,0,0,0,0,0,0,0,0,0,0,0,0,zgc:162895
NM_001113660,0,0,0,0,0,0,0,0,0,0,0,0,FANCM
NM_001045401,0,0,0,0,0,0,0,0,0,0,0,0,zgc:153411
NM_212911,0,0,0,0,0,0,0,0,0,0,0,0,zgc:77001
NM_001075109,0,0,0,0,0,0,0,0,0,0,0,0,zgc:152774
NM_001076637,0,0,0,0,0,0,0,0,0,0,0,0,zgc:153034
NM_207048,0,0,0,0,0,0,0,0,0,0,0,0,CCNF
NM_001115064,0,0,0,0,0,0,0,0,0,0,0,0,EDAR
NM_199702,0,0,0,0,0,0,0,0,0,0,0,0,zgc:64072
NM_001089468,0,0,0,0,0,0,0,0,0,0,0,0,zgc:158849
NM_001100155,0,0,0,0,0,0,0,0,0,0,0,0,zgc:165508
NM_001081439,0,0,0,0,0,0,0,0,0,0,0,0,hs3st1l1
NM_199586,0,0,0,0,0,0,0,0,0,0,0,0,actn4
