,A_11PM,A_3AM,A_7AM,A_11AM,A_3PM,A_7PM,B_11PM,B_3AM,B_7AM,B_11AM,B_3PM,B_7PM
PLK1,1.78505,4.01732,1.6176,1.68278,0.634651,0.982594,2.54638,3.01125,2.04004,0.948112,0.621065,0.617121
Chtf18,2.60485,5.30805,8.40486,5.40074,4.69381,3.04534,2.3542,3.87897,9.18291,6.97215,5.5948,4.83754
CRMP1,20.5664,24.9137,16.8607,11.2489,16.1606,21.1364,24.3972,23.8392,19.8805,15.9229,15.236,18.1869
pcm1,16.5213,16.1725,14.5849,12.3622,14.2793,16.9172,16.5886,14.2093,14.4977,13.6069,14.9481,14.97
,742.994,216.875,11.4249,47.3253,298.064,450.181,665.19,331.934,46.2176,69.5983,333.985,736.24
ankrd10a,14.674,8.65411,3.93756,4.91595,9.32565,11.8658,13.8069,10.0534,3.43785,5.13182,7.79296,12.8615
ARL13B,56.4742,35.8825,15.9823,20.5034,33.6271,32.7288,46.3551,42.173,25.6453,24.1289,33.2629,39.0508
si:ch211-172j10.2,6.33203,5.25372,4.20359,5.81332,6.17781,6.6867,6.17849,6.29719,4.22323,4.72297,5.34588,6.23399
Dclk2,43.8434,68.5056,52.4918,21.2749,19.2957,18.6753,30.6182,42.6051,50.4952,33.2952,21.2719,18.2659
naa15b,10.8939,10.6272,9.73313,9.95073,10.3937,12.8927,11.572,9.0262,10.0015,8.85111,11.7041,11.5855
TUBGCP3,7.51741,7.49963,6.78447,5.33409,6.26525,6.34845,6.9675,6.93338,5.37157,5.16515,5.2511,6.69524
Pdcd11,3.20128,6.32244,8.80488,10.8111,7.87306,7.26794,5.62386,4.97211,6.15351,9.30355,8.62218,5.95419
mdh1a,130.064,124.402,159.171,193.821,177.793,159.54,128.855,127.416,159.157,167.739,154.31,154.889
zgc:100913,13.7527,9.78076,7.71658,10.1295,12.0402,12.2554,18.7417,12.6941,8.29914,9.72503,12.0199,14.6472
LOC100002676,16.4385,22.2371,44.305,37.3838,34.2999,16.8167,16.0695,21.1102,27.9753,61.2418,38.4549,30.2102
PI4K2A,5.48831,5.42043,5.5611,4.19538,4.36023,4.933,6.18701,5.98724,4.65123,3.70836,4.99038,5.28128
tecrb,76.7277,63.8466,38.7447,41.554,47.7456,47.2531,72.5655,52.6155,49.057,37.3205,45.965,43.7613
zgc:154001,14.9136,9.78663,22.0481,27.6352,35.4237,18.0553,10.3516,14.9507,23.2785,32.8363,37.1916,24.7272
appA,170.956,169.627,171.011,95.8977,106.757,115.991,127.783,165.312,144.872,130.296,134.182,127.611
chrnb3a,12.8012,18.7537,19.4711,21.2335,20.8129,15.0754,16.0623,15.9826,20.0548,33.9983,25.7656,17.0259
prom1b,122.927,79.3582,30.1795,48.5403,69.9978,60.6973,110.206,91.3374,53.8272,55.2865,75.9363,78.1882
sfrp2,7.61113,5.13098,2.91809,4.8375,4.73383,7.92113,6.44491,6.21211,3.31789,2.69096,4.66857,10.7649
sh3gl2,29.1444,41.959,113.054,92.9414,44.7041,44.7107,20.8688,21.0388,76.9568,125.514,81.9304,32.401
Pwp2h,5.36282,7.16861,9.23334,8.46638,7.14148,6.44979,5.34739,6.6122,6.72521,6.92555,7.69889,5.62335
gpm6ba,104.515,81.4483,66.8074,39.064,59.909,105.228,88.9961,73.9758,69.7731,44.2619,78.0577,90.6933
Frem3,0.44342,0.435208,0.275825,0.158832,0.112851,0.156524,0.427047,0.277463,0.111039,0.176045,0.216583,0.154439
SMAD1,13.9705,22.2117,15.495,9.33858,10.1605,10.4975,15.8909,19.7455,21.0162,9.29837,11.468,11.5513
NR3C2,11.9441,10.154,6.97183,8.20072,9.20815,12.9337,13.6953,8.9517,7.07868,8.59466,12.1641,11.7438
ASB5,6.18498,6.09588,15.0771,9.30389,4.94886,6.20358,5.75262,7.08817,17.6927,11.7025,6.59741,4.44322
kpna3,24.3639,22.2543,19.8188,16.839,19.152,22.9251,21.1821,18.1399,17.5183,16.1662,19.0687,19.3361
AGPAT3,161.537,122.395,73.4414,93.7439,140.7,125.596,155.241,123.053,91.9834,103.575,131.7,161.094
si:dkey-82d4.3,17.9365,36.6399,55.3969,34.7205,29.6888,26.3127,28.1937,36.3615,40.3509,60.9773,34.3825,31.8317
papss1,8.62716,8.27914,5.99169,5.44671,7.18642,7.60784,9.1044,6.33338,5.5976,4.32498,7.11644,6.68287
srd5a2a,6.44176,6.29927,7.94235,7.89774,7.02776,5.8013,4.81266,8.34797,10.226,8.12033,6.96366,7.13006
jag1a,2.40115,3.11471,2.29903,1.90267,1.44667,2.32624,2.34285,3.43395,2.39104,1.33111,1.45516,1.87241
