Amino Acid Modifications - Giant Fiber Lobe (GFL)
============================================================
Rank  Change         Count     Description
------------------------------------------------------------
1     synonymous     22122     Silent mutation
2     KR             2068      Lysine → Arginine
3     SG             1052      Serine → Glycine
4     NS             848       Asparagine → Serine
5     TA             795       Threonine → Alanine
6     IV             748       Isoleucine → Valine
7     KE             720       Lysine → Glutamate
8     ND             688       Asparagine → Aspartate
9     RG             558       Arginine → Glycine
10    QR             558       Glutamine → Arginine
11    YC             541       Tyrosine → Cysteine
12    EG             423       Glutamate → Glycine
13    IM             305       Isoleucine → Methionine
14    MV             301       Methionine → Valine
15    DG             160       Aspartate → Glycine
16    HR             135       Histidine → Arginine
17    EK             76        Glutamate → Lysine
18    AT             73        Alanine → Threonine
19    RK             70        Arginine → Lysine
20    VI             69        Valine → Isoleucine
21    DE             68        Aspartate → Glutamate
22    ED             63        Glutamate → Aspartate
23    AV             50        Alanine → Valine
24    TI             46        Threonine → Isoleucine
25    GS             45        Glycine → Serine
26    GE             43        Glycine → Glutamate
27    ST             43        Serine → Threonine
28    DN             42        Aspartate → Asparagine
29    TS             40        Threonine → Serine
30    LF             39        Leucine → Phenylalanine
31    RQ             37        Arginine → Glutamine
32    KN             35        Lysine → Asparagine
33    SP             34        Serine → Proline
34    VA             34        Valine → Alanine
35    PS             34        Proline → Serine
36    SN             32        Serine → Asparagine
37    SL             30        Serine → Leucine
38    NK             29        Asparagine → Lysine
39    SA             28        Serine → Alanine
40    QK             26        Glutamine → Lysine
41    RH             25        Arginine → Histidine
42    AS             25        Alanine → Serine
43    KQ             24        Lysine → Glutamine
44    LP             24        Leucine → Proline
45    FL             23        Phenylalanine → Leucine
46    IL             22        Isoleucine → Leucine
47    HY             22        Histidine → Tyrosine
48    IT             22        Isoleucine → Threonine
49    LS             21        Leucine → Serine
50    TM             21        Threonine → Methionine
51    VL             20        Valine → Leucine
52    MT             20        Methionine → Threonine
53    GR             20        Glycine → Arginine
54    MI             20        Methionine → Isoleucine
55    TK             19        Threonine → Lysine
56    RC             18        Arginine → Cysteine
57    YH             18        Tyrosine → Histidine
58    NT             18        Asparagine → Threonine
59    LI             18        Leucine → Isoleucine
60    CY             17        Cysteine → Tyrosine
61    EQ             17        Glutamate → Glutamine
62    LV             16        Leucine → Valine
63    WR             16        Tryptophan → Arginine
64    HQ             15        Histidine → Glutamine
65    SR             15        Serine → Arginine
66    GD             15        Glycine → Aspartate
67    VM             15        Valine → Methionine
68    SF             15        Serine → Phenylalanine
69    AG             14        Alanine → Glycine
70    TP             14        Threonine → Proline
71    PQ             14        Proline → Glutamine
72    QH             14        Glutamine → Histidine
73    LM             14        Leucine → Methionine
74    QL             13        Glutamine → Leucine
75    YF             12        Tyrosine → Phenylalanine
76    PT             11        Proline → Threonine
77    CS             11        Cysteine → Serine
78    AE             11        Alanine → Glutamate
79    FY             11        Phenylalanine → Tyrosine
80    GA             10        Glycine → Alanine
81    VF             10        Valine → Phenylalanine
82    RS             10        Arginine → Serine
83    TN             10        Threonine → Asparagine
84    LQ             10        Leucine → Glutamine
85    NH             10        Asparagine → Histidine
86    HN             9         Histidine → Asparagine
87    PL             9         Proline → Leucine
88    PA             9         Proline → Alanine
89    AD             9         Alanine → Aspartate
90    ML             9         Methionine → Leucine
91    EA             9         Glutamate → Alanine
92    QE             9         Glutamine → Glutamate
93    VG             8         Valine → Glycine
94    GV             8         Glycine → Valine
95    DA             8         Aspartate → Alanine
96    FS             8         Phenylalanine → Serine
97    RL             8         Arginine → Leucine
98    FV             8         Phenylalanine → Valine
99    QP             8         Glutamine → Proline
100   EV             7         Glutamate → Valine
101   DY             7         Aspartate → Tyrosine
102   KT             7         Lysine → Threonine
103   YN             7         Tyrosine → Asparagine
104   YS             7         Tyrosine → Serine
105   PH             7         Proline → Histidine
106   CR             7         Cysteine → Arginine
107   NI             7         Asparagine → Isoleucine
108   AP             7         Alanine → Proline
109   RT             7         Arginine → Threonine
110   SC             7         Serine → Cysteine
111   DV             6         Aspartate → Valine
112   DH             6         Aspartate → Histidine
113   HD             6         Histidine → Aspartate
114   IS             6         Isoleucine → Serine
115   MK             5         Methionine → Lysine
116   LH             5         Leucine → Histidine
117   IK             5         Isoleucine → Lysine
118   IN             5         Isoleucine → Asparagine
119   IF             5         Isoleucine → Phenylalanine
120   HL             5         Histidine → Leucine
121   LR             5         Leucine → Arginine
122   HP             5         Histidine → Proline
123   Q*             4         Glutamine → Stop
124   FI             4         Phenylalanine → Isoleucine
125   S*             4         Serine → Stop
126   R*             4         Arginine → Stop
127   SI             4         Serine → Isoleucine
128   GC             4         Glycine → Cysteine
129   K*             4         Lysine → Stop
130   KM             4         Lysine → Methionine
131   VE             4         Valine → Glutamate
132   W*             4         Tryptophan → Stop
133   SY             4         Serine → Tyrosine
134   RM             4         Arginine → Methionine
135   YD             4         Tyrosine → Aspartate
136   MR             3         Methionine → Arginine
137   RP             3         Arginine → Proline
138   CG             3         Cysteine → Glycine
139   LW             3         Leucine → Tryptophan
140   WC             3         Tryptophan → Cysteine
141   RW             3         Arginine → Tryptophan
142   L*             3         Leucine → Stop
143   E*             3         Glutamate → Stop
144   WG             3         Tryptophan → Glycine
145   WL             3         Tryptophan → Leucine
146   VD             3         Valine → Aspartate
147   GW             2         Glycine → Tryptophan
148   Y*             2         Tyrosine → Stop
149   PR             2         Proline → Arginine
150   RI             2         Arginine → Isoleucine
151   CF             2         Cysteine → Phenylalanine
152   KI             2         Lysine → Isoleucine
153   IR             2         Isoleucine → Arginine
154   TR             2         Threonine → Arginine
155   WS             2         Tryptophan → Serine
156   FC             2         Phenylalanine → Cysteine
157   C*             1         Cysteine → Stop
158   CW             1         Cysteine → Tryptophan
159   NY             1         Asparagine → Tyrosine
160   G*             1         Glycine → Stop
161   *R             1         Stop → Arginine
