Amino Acid Modifications - Gills (Peripheral Tissue)
============================================================
Rank  Change         Count     Description
------------------------------------------------------------
1     synonymous     12765     Silent mutation
2     IV             79        Isoleucine → Valine
3     EK             78        Glutamate → Lysine
4     KR             71        Lysine → Arginine
5     VI             62        Valine → Isoleucine
6     DE             60        Aspartate → Glutamate
7     DN             55        Aspartate → Asparagine
8     ED             53        Glutamate → Aspartate
9     KN             50        Lysine → Asparagine
10    AT             49        Alanine → Threonine
11    RK             48        Arginine → Lysine
12    LF             47        Leucine → Phenylalanine
13    KE             46        Lysine → Glutamate
14    ND             43        Asparagine → Aspartate
15    TA             43        Threonine → Alanine
16    NK             37        Asparagine → Lysine
17    TI             37        Threonine → Isoleucine
18    NS             36        Asparagine → Serine
19    AV             35        Alanine → Valine
20    SG             33        Serine → Glycine
21    ST             33        Serine → Threonine
22    KQ             32        Lysine → Glutamine
23    RQ             31        Arginine → Glutamine
24    GE             30        Glycine → Glutamate
25    TS             30        Threonine → Serine
26    PS             29        Proline → Serine
27    AS             29        Alanine → Serine
28    FL             28        Phenylalanine → Leucine
29    EQ             26        Glutamate → Glutamine
30    MI             25        Methionine → Isoleucine
31    GS             25        Glycine → Serine
32    SN             24        Serine → Asparagine
33    IM             24        Isoleucine → Methionine
34    QK             24        Glutamine → Lysine
35    VA             24        Valine → Alanine
36    YC             23        Tyrosine → Cysteine
37    SP             23        Serine → Proline
38    EG             23        Glutamate → Glycine
39    RH             22        Arginine → Histidine
40    SL             21        Serine → Leucine
41    RG             21        Arginine → Glycine
42    SA             20        Serine → Alanine
43    LV             20        Leucine → Valine
44    QR             20        Glutamine → Arginine
45    QH             19        Glutamine → Histidine
46    LI             19        Leucine → Isoleucine
47    IT             18        Isoleucine → Threonine
48    RS             18        Arginine → Serine
49    IL             18        Isoleucine → Leucine
50    TM             17        Threonine → Methionine
51    TK             17        Threonine → Lysine
52    LM             17        Leucine → Methionine
53    YF             17        Tyrosine → Phenylalanine
54    HR             16        Histidine → Arginine
55    AE             16        Alanine → Glutamate
56    NH             16        Asparagine → Histidine
57    DG             15        Aspartate → Glycine
58    HY             15        Histidine → Tyrosine
59    KT             15        Lysine → Threonine
60    GR             15        Glycine → Arginine
61    QE             14        Glutamine → Glutamate
62    GD             14        Glycine → Aspartate
63    TP             14        Threonine → Proline
64    HQ             13        Histidine → Glutamine
65    SR             13        Serine → Arginine
66    ML             13        Methionine → Leucine
67    VL             13        Valine → Leucine
68    GA             13        Glycine → Alanine
69    PT             13        Proline → Threonine
70    VM             13        Valine → Methionine
71    PA             13        Proline → Alanine
72    AG             13        Alanine → Glycine
