Cell number,Location of the middle of cell in X axis (pixels),Location of the middle of cell in Y axis (pixels)
0,91.64292174,-2752.059146
1,-207.8986233,-1303.631905
2,-445.3341041,1036.820903
3,-302.104353,221.0562711
4,162.5969345,-1528.570754
5,-469.1082508,1874.284604
6,-55.90754127,-418.7133545
7,35.22166489,-885.8895729
8,67.17049478,-2119.378363
9,-190.9139474,-981.222917
10,-259.2074493,1426.631688
11,-45.81270529,-136.8900761
12,-123.2926721,-908.8920984
13,-10.04638592,-279.7577846
14,-389.4583394,-31.43628905
15,-489.4920722,799.0146938
16,-190.5553928,1982.780903
17,-26.41336319,-592.8115588
18,187.1927477,-1386.134429
19,93.89845678,-1509.373725
20,-104.9100306,66.23027083
21,35.46769738,682.527593
22,-88.28290701,-1434.086142
23,-146.9947416,2613.715043
24,82.54942315,80.04697948
25,-182.6437328,422.4787784
26,-130.1992373,2413.484543
27,-298.7471716,-26.2949813
28,-161.1948355,2721.886238
29,-126.0707073,642.5525613
30,-181.6351611,2856.477331
31,80.47404225,-61.75239248
32,-162.7928031,1457.819119
33,-141.8009155,3174.65047
34,-95.50916326,201.7656053
35,-85.60159471,912.7636769
36,166.13833,-153.6606341
37,-250.7484503,508.9408861
38,-295.5343351,-2246.203491
39,-1.347311835,2408.125105
40,-300.5623386,1396.876209
41,-114.6584901,1657.174239
42,-455.2710085,1040.15388
43,17.34205349,1820.793103
44,-223.975001,-2416.506811
45,54.98421411,1655.815311
46,58.47592739,-1117.766895
47,-137.4350385,2679.895949
48,-182.7735581,2924.458927
49,-182.8475534,1873.454513
50,-136.5057359,158.4782524
51,-346.1233871,1357.311091
52,-341.7605023,1008.748353
53,-246.1020042,107.6486568
54,-95.26066135,2621.832304
55,135.7751475,-844.428589
56,-399.2694399,449.2887426
57,47.96196232,-204.6859028
58,94.91009569,145.4521854
59,-148.5302449,2585.604763
60,-163.813869,224.0946093
61,21.54047807,-699.0516075
62,-48.32760244,-1797.599662
63,118.6419472,-2733.481141
64,-322.9144355,-1824.576687
65,-530.9359639,1449.458079
66,-146.5720503,2542.812917
67,-170.1862646,540.1105608
68,-404.983226,1304.918141
69,-107.5587526,942.2781852
70,100.6605418,1624.340755
71,-515.0340144,1902.569145
72,81.0797465,-1145.597317
73,-150.8185977,-738.7019538
74,143.9624811,804.0834993
75,-309.4165104,-1854.011262
76,-202.3781402,771.8750287
77,-187.9484927,1432.059443
78,-125.146789,-62.2439887
79,280.5192416,-421.8754507
80,-336.4853427,-347.8949837
81,-10.26715341,1896.840616
82,-114.5627444,284.756612
83,-246.8944978,-91.09713544
84,-555.2172437,1527.901987
85,90.91871614,-1847.791582
86,-505.3995816,1586.084193
87,-226.9597589,-1490.186938
88,-397.3499139,-1402.534216
89,1.264327142,-491.2190407
90,-514.7316625,1666.00918
91,107.0643535,1350.362717
92,-303.4401507,472.3559226
93,-313.4137518,-1002.949025
94,267.9413318,-1398.963092
95,-4.980352745,-999.3701907
96,100.8805904,1743.009601
97,-272.4480131,-2482.591353
98,-60.31655217,1696.050463
99,-28.41743268,1354.564137
100,-87.72465323,-369.6035959
101,20.20242617,2162.230257
102,-34.67638013,-2162.90934
103,-456.9327953,1705.544695
104,15.46832243,1879.178089
105,200.7449911,-1950.952252
106,83.39158666,-2462.387165
107,-24.32110713,-1799.880461
108,-0.366300321,-49.56862089
109,-4.449031693,1915.540324
110,-357.8643629,1747.483273
111,-214.7589795,-75.26954588
112,-186.8049917,-1500.774947
113,-29.98494871,-828.5837175
114,104.9678914,296.9830486
115,-133.3337997,2366.536028
116,-275.6153378,-202.3583359
117,129.0962761,868.2747885
118,-325.1139995,1835.952752
119,-130.5541909,-1065.86947
120,-15.05513154,-1949.975848
121,-283.6926905,-1799.651096
122,-421.9663477,1697.243231
123,-129.9070429,-1576.342761
124,-411.5616982,44.90697821
125,-406.3727784,62.68021462
126,91.51123567,-2419.674975
127,-337.9728365,-187.0375933
128,79.7831641,955.1027866
129,-325.9256814,1273.387416
130,75.67157465,-1238.369764
131,-103.0769303,3144.233901
132,-396.442658,-1666.420192
133,-314.9717991,1350.91265
134,-486.6437821,1542.879282
135,-63.15517267,-589.5157516
136,-244.9257968,1551.410016
137,-148.6872471,2906.745515
138,69.95434898,812.6311606
139,-120.1508689,1320.541688
140,-401.1943457,1945.302613
141,-54.81830544,1140.687701
142,-125.9124552,1325.366969
143,-107.6412376,351.2653648
144,-283.1061616,-38.4756362
145,-122.8730041,229.3203666
146,-510.7809884,1424.418075
147,-315.366508,-2103.377393
148,119.1297804,-127.4587966
149,-312.1642928,2163.012772
150,-386.7262153,-1751.16883
151,245.7492043,-334.9878662
152,-33.49976244,1688.123941
153,-226.0323243,3029.150604
154,-251.7351554,259.4785533
155,-231.7548023,1570.415296
156,-238.6808257,966.0257519
157,-97.86466756,-1302.497661
158,74.34918611,1686.964441
159,11.05532458,147.6587354
160,38.92552844,1665.351297
161,-180.4607886,-1571.765266
162,-381.2944377,382.8735893
163,35.69544146,-1281.674125
164,-409.1410584,1104.361893
165,-296.0887373,163.0693775
166,-386.7111141,1482.764576
167,1.138858036,2114.038941
168,-65.32252715,-1800.630267
169,229.1373962,-633.711303
170,-308.2806456,1590.864982
171,121.5440667,-94.91208383
172,69.11785158,2034.596948
173,-357.7538464,-1392.188814
174,170.0721627,-1450.964112
175,-57.11187808,-461.5217283
176,-269.8010798,1696.435246
177,216.2129785,1770.220429
178,-154.0874868,-144.666062
179,78.6981541,103.7162411
180,-110.1360467,-2241.656627
181,-100.8734683,269.1193532
182,-119.3209128,1995.228623
183,280.6164987,-312.992468
184,57.34361914,322.7053544
185,249.3851811,-18.95798518
186,59.5382459,1025.339654
187,180.1045258,276.5201757
188,201.9246447,-1490.701328
189,-113.1468509,159.0079227
190,-234.5594094,-1026.4791
191,-124.8359838,-5.249997726
192,222.71828,-124.2049891
193,-270.2524926,441.6940988
194,19.7625315,-1373.132728
195,-110.1491807,2143.440227
196,-312.3590125,-59.88355952
197,53.27198619,-1230.572374
198,-126.9944228,1551.275443
199,-384.6039559,-12.5873417
200,369.6275669,-673.9827255
201,-141.2456669,2893.346735
202,-122.123923,-338.8508626
203,204.2500395,-1851.357481
204,-223.603714,2975.152022
205,-414.0591947,1920.115211
206,-433.2954664,443.2143245
207,-290.5345193,2131.709289
208,74.80838963,584.6013055
209,-64.7282943,-1681.239992
210,37.99177988,1112.079462
211,-112.2068225,-2301.809224
212,222.6991858,-950.3749491
213,-261.7830297,1638.670774
214,54.44208486,2298.91172
215,201.3691877,-1870.229551
216,-270.763309,-903.5433492
217,-223.8622604,-536.3833647
218,-426.1391546,486.03606
219,99.61010373,1538.394351
220,6.343891797,-461.155068
221,-33.48575603,137.1779993
222,15.04511511,-541.6235817
223,134.0183534,93.43172893
224,-399.5547592,-1555.122665
225,307.9429124,-452.9097664
226,62.57389931,-960.6772983
227,-400.9131238,-1653.098539
228,56.54185353,2278.500309
229,107.7293889,83.879549
